From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (GO),Gene Ontology IDs,Gene Ontology (cellular component),Gene Ontology (molecular function)
PA1327,Q9I417,unreviewed,Q9I417_PSEAE,Serine protease (EC 3.4.21.-),PA1327,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),656,proteolysis [GO:0006508],endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; serine-type peptidase activity [GO:0008236]; proteolysis [GO:0006508],GO:0003676; GO:0004519; GO:0006508; GO:0008236; GO:0046872,,endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; serine-type peptidase activity [GO:0008236]
PA4652,Q9HVE0,unreviewed,Q9HVE0_PSEAE,PapC-like C-terminal domain-containing protein,PA4652,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),790,pilus assembly [GO:0009297],cell outer membrane [GO:0009279]; fimbrial usher porin activity [GO:0015473]; pilus assembly [GO:0009297],GO:0009279; GO:0009297; GO:0015473,cell outer membrane [GO:0009279],fimbrial usher porin activity [GO:0015473]
PA1931,Q9I2H3,unreviewed,Q9I2H3_PSEAE,Probable ferredoxin,PA1931,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),170,,"2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]",GO:0016903; GO:0046872; GO:0051537,,"2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]"
PA1252,Q9I492,reviewed,PY2CR_PSEAE,Delta(1)-pyrroline-2-carboxylate/Delta(1)-piperideine-2-carboxylate reductase (Pyr2C/Pip2C reductase) (EC 1.5.1.21) (Delta(1)-pyrroline-(4S)-hydroxy-2-carboxylate reductase) (Pyr4SH2C reductase) (EC 1.5.1.-) (Proline ketimine reductase),lhpD lhpH PA1252,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),334,4-hydroxyproline catabolic process [GO:0019470]; proline metabolic process [GO:0006560],delta1-piperideine-2-carboxylate reductase activity [GO:0047125]; identical protein binding [GO:0042802]; NADP+ binding [GO:0070401]; protein homodimerization activity [GO:0042803]; pyrroline-2-carboxylate reductase activity [GO:0050241]; 4-hydroxyproline catabolic process [GO:0019470]; proline metabolic process [GO:0006560],GO:0006560; GO:0019470; GO:0042802; GO:0042803; GO:0047125; GO:0050241; GO:0070401,,delta1-piperideine-2-carboxylate reductase activity [GO:0047125]; identical protein binding [GO:0042802]; NADP+ binding [GO:0070401]; protein homodimerization activity [GO:0042803]; pyrroline-2-carboxylate reductase activity [GO:0050241]
PA2074,Q9I241,unreviewed,Q9I241_PSEAE,CN hydrolase domain-containing protein,PA2074,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),270,putrescine biosynthetic process from arginine [GO:0033388],"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; N-carbamoylputrescine amidase activity [GO:0050126]; putrescine biosynthetic process from arginine [GO:0033388]",GO:0016811; GO:0033388; GO:0050126,,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; N-carbamoylputrescine amidase activity [GO:0050126]"
PA0272,Q9I6L8,unreviewed,Q9I6L8_PSEAE,Probable transcriptional regulator,PA0272,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),310,regulation of DNA-templated transcription [GO:0006355],DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; regulation of DNA-templated transcription [GO:0006355],GO:0003677; GO:0003700; GO:0006355,,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
PA3341,Q9HYQ4,unreviewed,Q9HYQ4_PSEAE,Probable transcriptional regulator,PA3341,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),144,regulation of DNA-templated transcription [GO:0006355],DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; regulation of DNA-templated transcription [GO:0006355],GO:0003700; GO:0006355; GO:0046872,,DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]
PA0440,Q9I677,unreviewed,Q9I677_PSEAE,Probable oxidoreductase,PA0440,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),455,,iron-sulfur cluster binding [GO:0051536]; oxidoreductase activity [GO:0016491],GO:0016491; GO:0051536,,iron-sulfur cluster binding [GO:0051536]; oxidoreductase activity [GO:0016491]
PA1877,Q9I2M0,unreviewed,Q9I2M0_PSEAE,Probable secretion protein,PA1877,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),395,,membrane [GO:0016020],GO:0016020,membrane [GO:0016020],
PA2788,Q9I055,reviewed,MCPN_PSEAE,Methyl-accepting chemotaxis protein McpN,mcpN PA2788,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),531,chemotaxis [GO:0006935]; signal transduction [GO:0007165],plasma membrane [GO:0005886]; chemotaxis [GO:0006935]; signal transduction [GO:0007165],GO:0005886; GO:0006935; GO:0007165,plasma membrane [GO:0005886],
PA4297,Q9HWA3,unreviewed,Q9HWA3_PSEAE,TadG,tadG PA4297,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),556,,,,,
PA3956,Q9HX60,unreviewed,Q9HX60_PSEAE,VOC domain-containing protein,PA3956,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),144,,,,,
PA3995,Q9HX26,unreviewed,Q9HX26_PSEAE,Probable transcriptional regulator,PA3995,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),297,regulation of DNA-templated transcription [GO:0006355],DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; regulation of DNA-templated transcription [GO:0006355],GO:0003677; GO:0003700; GO:0006355,,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
PA4651,Q9HVE1,unreviewed,Q9HVE1_PSEAE,Probable pili assembly chaperone,PA4651,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),262,cell wall organization [GO:0071555],outer membrane-bounded periplasmic space [GO:0030288]; cell wall organization [GO:0071555],GO:0030288; GO:0071555,outer membrane-bounded periplasmic space [GO:0030288],
PA0178,Q9I6V4,unreviewed,Q9I6V4_PSEAE,histidine kinase (EC 2.7.13.3),PA0178,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),639,chemotaxis [GO:0006935]; protein autophosphorylation [GO:0046777],cytoplasm [GO:0005737]; phosphorelay sensor kinase activity [GO:0000155]; chemotaxis [GO:0006935]; protein autophosphorylation [GO:0046777],GO:0000155; GO:0005737; GO:0006935; GO:0046777,cytoplasm [GO:0005737],phosphorelay sensor kinase activity [GO:0000155]
PA1876,Q9I2M1,unreviewed,Q9I2M1_PSEAE,Probable ATP-binding/permease fusion ABC transporter,PA1876,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),723,proteolysis [GO:0006508]; transmembrane transport [GO:0055085],membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]; ATPase-coupled transmembrane transporter activity [GO:0042626]; peptidase activity [GO:0008233]; proteolysis [GO:0006508]; transmembrane transport [GO:0055085],GO:0005524; GO:0006508; GO:0008233; GO:0016020; GO:0016887; GO:0034040; GO:0042626; GO:0055085; GO:0140359,membrane [GO:0016020],ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]; ATPase-coupled transmembrane transporter activity [GO:0042626]; peptidase activity [GO:0008233]
PA3311,Q9HYT3,reviewed,Y3311_PSEAE,Uncharacterized signaling protein PA3311,PA3311,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),783,cellular response to nitric oxide [GO:0071732],plasma membrane [GO:0005886]; cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]; cellular response to nitric oxide [GO:0071732],GO:0005886; GO:0071111; GO:0071732,plasma membrane [GO:0005886],cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]
PA2920,Q9HZS7,unreviewed,Q9HZS7_PSEAE,Probable chemotaxis transducer,PA2920,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),545,chemotaxis [GO:0006935]; signal transduction [GO:0007165],membrane [GO:0016020]; transmembrane signaling receptor activity [GO:0004888]; chemotaxis [GO:0006935]; signal transduction [GO:0007165],GO:0004888; GO:0006935; GO:0007165; GO:0016020,membrane [GO:0016020],transmembrane signaling receptor activity [GO:0004888]
PA1208,Q9I4D0,unreviewed,Q9I4D0_PSEAE,FAD-containing monooxygenase EthA,PA1208,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),499,,"flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]",GO:0004499; GO:0050660; GO:0050661,,"flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]"
PA4298,Q9HWA2,unreviewed,Q9HWA2_PSEAE,DUF3613 domain-containing protein,PA4298,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),94,,,,,
PA4648,Q9HVE4,unreviewed,Q9HVE4_PSEAE,Spore coat protein U domain-containing protein,PA4648,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),182,,,,,
PA3787,Q9HXK8,unreviewed,Q9HXK8_PSEAE,Peptidase M23,PA3787,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),282,septum digestion after cytokinesis [GO:0000920],metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; septum digestion after cytokinesis [GO:0000920],GO:0000920; GO:0004222; GO:0046872,,metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
PA1887,Q9I2L0,unreviewed,Q9I2L0_PSEAE,Uncharacterized protein,PA1887,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),222,arachidonic acid secretion [GO:0050482]; phospholipid metabolic process [GO:0006644],phospholipase A2 activity [GO:0004623]; arachidonic acid secretion [GO:0050482]; phospholipid metabolic process [GO:0006644],GO:0004623; GO:0006644; GO:0050482,,phospholipase A2 activity [GO:0004623]
PA0960,Q9I4Z9,reviewed,SLYX_PSEAE,Protein SlyX homolog,slyX PA0960,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),69,,,,,
PA1221,Q9I4B7,unreviewed,Q9I4B7_PSEAE,Carrier domain-containing protein,PA1221,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),618,,nucleotide binding [GO:0000166],GO:0000166,,nucleotide binding [GO:0000166]
PA1875,Q9I2M2,unreviewed,Q9I2M2_PSEAE,Probable outer membrane protein,PA1875,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),425,,efflux pump complex [GO:1990281]; efflux transmembrane transporter activity [GO:0015562]; porin activity [GO:0015288],GO:0015288; GO:0015562; GO:1990281,efflux pump complex [GO:1990281],efflux transmembrane transporter activity [GO:0015562]; porin activity [GO:0015288]
